model,seed,condition,coverage,selective_error,accuracy,unsupported_release_rate,n,n_accepted,locked_threshold,validation_coverage
logistic_regression,49,random_missingness_20%,0.6140350877192983,0.0,0.956140350877193,0.0,114,70,0.93,0.7017543859649122
random_forest,40,clean_test,0.7368421052631579,0.0,0.956140350877193,0.0,114,84,0.97,0.7456140350877193
random_forest,40,gaussian_noise_0.1,0.7192982456140351,0.0,0.9385964912280702,0.0,114,82,0.97,0.7456140350877193
random_forest,40,gaussian_noise_0.2,0.6666666666666666,0.0,0.9385964912280702,0.0,114,76,0.97,0.7456140350877193
random_forest,40,random_missingness_10%,0.6842105263157895,0.0,0.9649122807017544,0.0,114,78,0.97,0.7456140350877193
random_forest,40,random_missingness_20%,0.5087719298245614,0.0,0.9385964912280702,0.0,114,58,0.97,0.7456140350877193
random_forest,41,clean_test,0.7017543859649122,0.0,0.9210526315789473,0.0,114,80,0.94,0.7017543859649122
random_forest,41,gaussian_noise_0.1,0.7017543859649122,0.0,0.9298245614035088,0.0,114,80,0.94,0.7017543859649122
random_forest,41,gaussian_noise_0.2,0.6403508771929824,0.0,0.9210526315789473,0.0,114,73,0.94,0.7017543859649122
random_forest,41,random_missingness_10%,0.6140350877192983,0.0,0.9210526315789473,0.0,114,70,0.94,0.7017543859649122
random_forest,41,random_missingness_20%,0.40350877192982454,0.0,0.9210526315789473,0.0,114,46,0.94,0.7017543859649122
random_forest,42,clean_test,0.6754385964912281,0.0,0.9298245614035088,0.0,114,77,0.97,0.7456140350877193
random_forest,42,gaussian_noise_0.1,0.6578947368421053,0.0,0.9385964912280702,0.0,114,75,0.97,0.7456140350877193
random_forest,42,gaussian_noise_0.2,0.5175438596491229,0.0,0.9298245614035088,0.0,114,59,0.97,0.7456140350877193
random_forest,42,random_missingness_10%,0.47368421052631576,0.0,0.9210526315789473,0.0,114,54,0.97,0.7456140350877193
random_forest,42,random_missingness_20%,0.30701754385964913,0.0,0.9210526315789473,0.0,114,35,0.97,0.7456140350877193
random_forest,43,clean_test,0.7543859649122807,0.011627906976744186,0.956140350877193,0.008771929824561403,114,86,0.95,0.7280701754385965
random_forest,43,gaussian_noise_0.1,0.7543859649122807,0.011627906976744186,0.956140350877193,0.008771929824561403,114,86,0.95,0.7280701754385965
random_forest,43,gaussian_noise_0.2,0.6228070175438597,0.014084507042253521,0.9385964912280702,0.008771929824561403,114,71,0.95,0.7280701754385965
random_forest,43,random_missingness_10%,0.631578947368421,0.013888888888888888,0.9473684210526315,0.008771929824561403,114,72,0.95,0.7280701754385965
random_forest,43,random_missingness_20%,0.4824561403508772,0.03636363636363636,0.9473684210526315,0.017543859649122806,114,55,0.95,0.7280701754385965
random_forest,44,clean_test,0.7280701754385965,0.0,0.956140350877193,0.0,114,83,0.98,0.7368421052631579
random_forest,44,gaussian_noise_0.1,0.7105263157894737,0.0,0.9649122807017544,0.0,114,81,0.98,0.7368421052631579
random_forest,44,gaussian_noise_0.2,0.631578947368421,0.0,0.9649122807017544,0.0,114,72,0.98,0.7368421052631579
random_forest,44,random_missingness_10%,0.5964912280701754,0.0,0.9649122807017544,0.0,114,68,0.98,0.7368421052631579
random_forest,44,random_missingness_20%,0.43859649122807015,0.0,0.9473684210526315,0.0,114,50,0.98,0.7368421052631579
random_forest,45,clean_test,0.7368421052631579,0.011904761904761904,0.956140350877193,0.008771929824561403,114,84,0.97,0.6754385964912281
random_forest,45,gaussian_noise_0.1,0.6754385964912281,0.012987012987012988,0.9649122807017544,0.008771929824561403,114,77,0.97,0.6754385964912281
